City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
207,Henties Bay,NA,2020-04-20 06:47:48,-22.12,14.28,60.01,95,33,4.83,light rain,0.013779527559055118,0.0
208,General Roca,AR,2020-04-20 06:47:48,-39.03,-67.58,57.2,36,63,2.24,broken clouds,0.0,0.0
209,Thinadhoo,MV,2020-04-20 06:47:48,0.53,72.93,85.41,71,54,9.06,broken clouds,0.0,0.0
210,Taywarah,AF,2020-04-20 06:47:49,33.35,64.42,48.15,21,0,3.33,clear sky,0.0,0.0
211,Jishou,CN,2020-04-20 06:47:49,28.32,109.72,58.15,78,99,7.83,light rain,0.05708661417322835,0.0
212,Mukhen,RU,2020-04-20 06:47:49,48.1,136.1,61.03,30,100,6.64,overcast clouds,0.0,0.0
213,Mariental,NA,2020-04-20 06:47:49,-24.63,17.97,73.29,31,43,10.47,scattered clouds,0.0,0.0
214,Necochea,AR,2020-04-20 06:47:49,-38.55,-58.74,57.74,79,95,6.4,overcast clouds,0.0,0.0
215,Husavik,IS,2020-04-20 06:47:49,66.04,-17.34,44.6,75,4,23.04,clear sky,0.0,0.0
216,Marienburg,PL,2020-04-20 06:47:50,54.04,19.03,46.0,79,0,1.01,clear sky,0.0,0.0
217,Penzance,GB,2020-04-20 06:47:50,50.12,-5.54,50.0,71,98,13.87,overcast clouds,0.0,0.0
218,Karratha,AU,2020-04-20 06:47:50,-20.74,116.85,88.61,48,97,10.85,overcast clouds,0.0,0.0
219,Malakal,SS,2020-04-20 06:47:50,9.53,31.66,86.54,43,97,4.99,overcast clouds,0.0,0.0
220,Grindavik,IS,2020-04-20 06:47:51,63.84,-22.43,46.4,100,90,27.51,light rain,0.0,0.0
221,Mayumba,GA,2020-04-20 06:47:51,-3.43,10.66,78.58,85,100,5.97,light rain,0.08582677165354331,0.0
222,Bafata,GW,2020-04-20 06:47:51,12.17,-14.75,70.36,65,47,2.95,scattered clouds,0.0,0.0
223,Xichang,CN,2020-04-20 06:47:51,27.9,102.26,79.45,18,28,7.72,scattered clouds,0.0,0.0
224,San Jeronimo,PE,2020-04-20 06:47:51,-11.95,-75.28,41.25,28,45,0.56,scattered clouds,0.0,0.0
225,Lompoc,US,2020-04-20 06:45:08,34.64,-120.46,53.6,81,90,4.7,overcast clouds,0.0,0.0
226,Kruisfontein,ZA,2020-04-20 06:47:52,-34.0,24.73,68.2,49,0,1.9,clear sky,0.0,0.0
227,Kununurra,AU,2020-04-20 06:47:52,-15.77,128.73,102.2,22,40,14.99,scattered clouds,0.0,0.0
